INIT;DRIVER_INIT_ZERO;DRIVER_INIT_LIST_ONE;ECUM_STATE_STARTUP_TWO;DRIVER_INIT_TWO;NVM_READALL;NVM_READALL_FINISHED;DRIVER_INIT_THREE;OPERATION;PREP_SHUTDOWN;ON_GO_OFF_ONE_A_CALLOUT;NVM_WRITEALL;NVM_WRITEALL_FINISHED;SHUTDOWN_2;PHASE_LAST;NUMBER_OF_PHASE;
0;0;19804;1884;23653;27314;8299;17882;154866102;9925;10008;19960;0;0;0;0;
0;0;19793;1885;23651;27442;8172;17896;153066083;9923;9983;140018;0;0;0;0;
0;0;19802;1886;23715;25364;0;0;153065197;0;0;0;0;0;0;0;
0;0;19802;1887;23722;25554;0;17976;154065924;10006;9972;20000;0;0;0;0;
0;0;19801;1887;23721;25733;9805;17992;156066012;9915;10002;20008;0;0;0;0;
0;0;19801;1886;23726;25922;9618;17980;155165931;10007;10009;19957;0;0;0;0;
0;0;19793;1884;23646;25972;9649;17909;152965996;10003;10016;19959;0;0;0;0;
0;0;19792;1885;23654;26133;9478;17907;152066076;9922;9985;19995;0;0;0;0;
0;0;19801;1886;23727;26367;9171;18007;153165977;9929;9979;19995;0;0;0;0;
0;0;19792;1886;23656;26464;9144;17888;153166096;9934;9997;19968;0;0;0;0;
0;0;19831;1885;23716;26662;8888;18004;151965910;10001;9978;19997;0;0;0;0;
0;0;19801;1886;23716;26842;8708;17988;154165925;10005;9972;19994;0;0;0;0;
0;0;19801;1886;23719;26980;8567;17993;153065923;9997;9979;19994;0;0;0;0;
0;0;19793;1886;23649;26991;8625;17914;151965999;9999;9978;19987;0;0;0;0;
0;0;19794;1885;23655;27162;8448;17888;155166021;10000;9979;19990;0;0;0;0;
0;0;19802;1887;23722;27411;8131;17976;155166010;9929;9969;20005;0;0;0;0;
0;0;19794;1885;23648;27487;8131;17928;154365983;10005;10009;19960;0;0;0;0;
0;0;19831;1887;23722;25176;369;17941;154165966;10078;9897;19999;0;0;0;0;
0;0;19792;1885;23660;25226;385;17906;154966002;10002;10011;19955;0;0;0;0;
0;0;19831;1886;23715;25562;0;17956;153066025;9923;10000;19973;0;0;0;0;
0;0;19803;1886;23718;25731;9812;17937;152166054;9929;9975;19997;0;0;0;0;
0;0;19800;1885;23717;25949;9599;17967;154065945;10077;9909;19987;0;0;0;0;
0;0;19800;1885;23714;26099;9451;17974;153965943;10075;9901;19996;0;0;0;0;
0;0;19794;1886;23649;26141;9476;17920;153166055;9930;9993;19978;0;0;0;0;
0;0;19802;1887;23727;26389;9147;17956;155166035;9929;9977;19987;0;0;0;0;
0;0;19801;1887;23724;26539;9001;17953;155265956;10008;9978;19991;0;0;0;0;
0;0;19793;1886;23656;26549;9059;17863;154166048;10002;10016;19956;0;0;0;0;
0;0;19794;1884;23654;26668;8944;17909;155966000;10009;9968;19994;0;0;0;0;
0;0;19802;1886;23714;26975;8575;17970;152965944;10001;9973;19998;0;0;0;0;
0;0;19800;1885;23719;27077;8469;17973;152266012;9933;9978;19993;0;0;0;0;
0;0;19793;1885;23657;27165;8442;17895;154166011;9999;9989;19993;0;0;0;0;
0;0;19802;1887;23725;27419;8118;17961;154265949;10005;9979;19993;0;0;0;0;
0;0;19801;1887;23716;27573;7976;17950;153165964;10000;9978;140015;0;0;0;0;
0;0;19800;1885;23720;25331;219;17989;152965988;9931;0;0;0;0;0;0;
0;0;19794;1885;23654;25336;279;17908;153965998;10073;9908;19997;0;0;0;0;
0;0;19793;1885;23654;25615;0;17926;155166057;9927;10001;19962;0;0;0;0;
0;0;19794;1886;23660;25836;9767;17913;151965993;10000;9987;19989;0;0;0;0;
0;0;19793;1886;23648;25951;9666;17900;155066010;10075;9900;19998;0;0;0;0;
0;0;19794;1885;23655;26150;9460;17903;153066009;10000;9980;19993;0;0;0;0;
0;0;19794;1884;23654;26253;9358;17920;151966060;9935;9973;19997;0;0;0;0;
0;0;19793;1885;23652;26474;9138;17918;152965988;10075;9911;19991;0;0;0;0;
0;0;19799;1886;23721;26702;8841;18000;154065919;10001;9976;19995;0;0;0;0;
0;0;19793;1884;23651;26791;8823;17931;154165977;10066;9922;19987;0;0;0;0;
0;0;19794;1885;23656;26885;8724;17910;153165998;10006;9981;19984;0;0;0;0;
0;0;19800;1886;23718;27112;8435;17981;153165929;10002;9984;19984;0;0;0;0;
0;0;19801;1887;23721;27231;8313;17960;153165950;10007;9975;19994;0;0;0;0;
