INIT;DRIVER_INIT_ZERO;DRIVER_INIT_LIST_ONE;ECUM_STATE_STARTUP_TWO;DRIVER_INIT_TWO;NVM_READALL;NVM_READALL_FINISHED;DRIVER_INIT_THREE;OPERATION;PREP_SHUTDOWN;ON_GO_OFF_ONE_A_CALLOUT;NVM_WRITEALL;NVM_WRITEALL_FINISHED;SHUTDOWN_2;PHASE_LAST;NUMBER_OF_PHASE;
0;0;19787;1898;23572;22676;3007;17527;157064993;10000;9984;10026;0;0;0;0;
0;0;19824;1893;23567;22779;2913;17521;153064998;10001;9982;10032;0;0;0;0;
0;0;19826;1892;23560;22873;2827;17525;151164996;10012;9970;10021;0;0;0;0;
0;0;19838;1893;23623;23132;2505;17582;151964944;9997;9984;10020;0;0;0;0;
0;0;19825;1893;23567;23108;2586;17521;155164995;10002;9983;10025;0;0;0;0;
0;0;19826;1893;23570;23249;2440;17514;155265001;10006;9986;10030;0;0;0;0;
0;0;19838;1894;23621;23495;2144;17568;153164953;10001;9984;10021;0;0;0;0;
0;0;19827;1893;23556;21603;4100;17542;153264977;10006;9981;10023;0;0;0;0;
0;0;19838;1894;23635;21842;3781;17615;154264908;9998;9984;10022;0;0;0;0;
0;0;19840;1895;23626;21952;3678;17608;153064919;9998;9984;10023;0;0;0;0;
0;0;19838;1894;23634;22031;3593;17620;155264895;10007;9985;10020;0;0;0;0;
0;0;19824;1892;23562;22100;3598;17566;155164951;10003;9983;10037;0;0;0;0;
0;0;19825;1892;23560;22192;3507;17539;153164986;9998;9981;10034;0;0;0;0;
0;0;19826;1893;23573;22338;3348;17545;154364974;10004;9981;10025;0;0;0;0;
0;0;19838;1894;23634;22571;3053;17591;156364927;10005;9981;10026;0;0;0;0;
0;0;19839;1894;23632;22650;2977;17604;154064917;10008;9966;10043;0;0;0;0;
0;0;19826;1893;23575;22713;2973;17545;152264968;10004;9983;10030;0;0;0;0;
0;0;19838;1894;23633;22932;2695;17600;152264923;9996;9986;10023;0;0;0;0;
0;0;19839;1895;23633;23041;2584;17604;155164919;10001;9973;10047;0;0;0;0;
0;0;19824;1893;23565;23035;2661;17537;151964986;9997;9985;10019;0;0;0;0;
0;0;19826;1892;23563;23161;2537;17566;156364951;10003;9982;10025;0;0;0;0;
0;0;19838;1894;23631;23371;2259;17613;152964906;10004;9980;10024;0;0;0;0;
0;0;19824;1894;23558;23383;2317;17537;154164983;10005;9978;10024;0;0;0;0;
0;0;19826;1893;23564;23488;2208;17530;156164984;10008;9984;10018;0;0;0;0;
0;0;19838;1894;23631;21602;4024;17597;155164926;9999;9985;10023;0;0;0;0;
0;0;19826;1893;23569;21639;4051;17525;152164999;10000;9982;10024;0;0;0;0;
0;0;19839;1895;23636;21827;3795;17579;153964942;9998;9986;10032;0;0;0;0;
0;0;19827;1892;23559;21850;3850;17537;153164983;10003;9981;10022;0;0;0;0;
0;0;19826;1892;23563;21987;3711;17521;152164996;9998;9992;10018;0;0;0;0;
0;0;19839;1894;23625;22195;3437;17584;151964938;10008;9978;10037;0;0;0;0;
0;0;19825;1893;23563;22230;3466;17529;153264989;10004;9981;10021;0;0;0;0;
0;0;19840;1895;23628;22458;3170;17613;154164910;10000;9982;10028;0;0;0;0;
0;0;19825;1893;23561;22407;3292;17524;155164993;10007;9977;10024;0;0;0;0;
0;0;19839;1895;23633;22703;2922;17558;153964962;9998;9988;10024;0;0;0;0;
0;0;19826;1892;23560;22694;3008;17507;156165012;10000;9985;10023;0;0;0;0;
0;0;19827;1892;23555;22798;2909;17541;155264977;10006;9978;10028;0;0;0;0;
0;0;19837;1894;23630;23033;2594;17574;154264953;9997;9978;10029;0;0;0;0;
0;0;19826;1891;23568;23024;2670;17514;154965009;9997;9983;10034;0;0;0;0;
0;0;19838;1894;23623;23304;2333;17596;153264919;10009;9982;10024;0;0;0;0;
0;0;19840;1894;23633;23403;2222;17590;152964940;9995;9978;10043;0;0;0;0;
0;0;19838;1894;23625;23582;2053;17588;153964936;9998;9979;10042;0;0;0;0;
0;0;19825;1892;23563;21588;4109;17553;156364970;9999;9980;10026;0;0;0;0;
0;0;19825;1892;23558;21720;3983;17545;155264974;10001;9982;10028;0;0;0;0;
0;0;19840;1894;23646;21962;3651;17620;153264897;10004;9986;10025;0;0;0;0;
0;0;19837;1894;23633;22060;3566;17596;153164924;10001;9981;10029;0;0;0;0;
0;0;19838;1895;23630;22176;3453;17610;153264912;9998;9990;10013;0;0;0;0;
0;0;19839;1895;23623;22268;3369;17597;155164923;9996;9986;10021;0;0;0;0;
0;0;19825;1892;23563;22371;3326;17558;154364963;10001;9985;10027;0;0;0;0;
0;0;19825;1893;23574;22412;3273;17535;153864985;10002;9971;10048;0;0;0;0;
0;0;19825;1893;23563;22522;3173;17529;152964991;10000;9983;10025;0;0;0;0;
0;0;19826;1893;23564;22711;2984;17545;153964975;10003;9985;10021;0;0;0;0;
0;0;19826;1893;23562;22789;2909;17538;154264978;10003;9979;10036;0;0;0;0;
0;0;19839;1894;23631;23041;2586;17593;155164927;10003;9978;10039;0;0;0;0;
0;0;19825;1893;23562;23051;2647;17538;154064975;10007;9986;10022;0;0;0;0;
0;0;19839;1894;23633;23273;2355;17596;152164921;10001;9984;10029;0;0;0;0;
0;0;19838;1894;23630;23426;2203;17616;152964907;9999;9980;10043;0;0;0;0;
0;0;19840;1895;23631;23552;2075;17598;151964920;10004;9975;10047;0;0;0;0;
0;0;19838;1894;23630;23673;1956;17600;156264918;10006;10025;9982;0;0;0;0;
0;0;19825;1893;23563;21489;4209;17535;152164981;10000;9989;10032;0;0;0;0;
0;0;19826;1892;23560;21651;4049;17515;153065002;10009;9974;10031;0;0;0;0;
0;0;19839;1895;23624;21851;3784;17590;154964928;10002;9986;10031;0;0;0;0;
0;0;19837;1894;23632;21947;3681;17584;152064930;10011;9980;10024;0;0;0;0;
0;0;19825;1892;23561;21998;3701;17527;152164993;9997;9989;10031;0;0;0;0;
0;0;19824;1893;23572;22087;3601;17531;154964989;9998;9983;10025;0;0;0;0;
0;0;19838;1894;23623;22334;3300;17584;153964938;10006;9977;10026;0;0;0;0;
0;0;19838;1895;23636;22483;3136;17586;154064930;10006;9983;10027;0;0;0;0;
0;0;19825;1893;23557;22451;3250;17512;153165006;10001;9985;10024;0;0;0;0;
0;0;19838;1894;23621;22706;2932;17579;152974941;9997;9989;10024;0;0;0;0;
0;0;19838;1894;23630;22826;2803;17574;153364945;10006;9977;10021;0;0;0;0;
0;0;19837;1893;23631;22942;2687;17572;152064952;9997;9983;10024;0;0;0;0;
0;0;19825;1893;23559;22957;2743;17526;155164991;10003;9984;10023;0;0;0;0;
0;0;19839;1895;23630;23126;2503;17559;153964959;10002;9981;10028;0;0;0;0;
0;0;19825;1893;23563;23191;2506;17526;155064997;9998;9984;10024;0;0;0;0;
0;0;19837;1894;23625;23378;2257;17593;156164923;10004;9985;10021;0;0;0;0;
0;0;19837;1895;23622;23584;2052;17579;152964942;10002;9983;10020;0;0;0;0;
0;0;19825;1893;23559;21559;4141;17544;151964974;10001;9991;10032;0;0;0;0;
0;0;19840;1895;23623;21847;3789;17603;152264917;10002;9984;10023;0;0;0;0;
0;0;19824;1893;23573;21830;3856;17537;152164981;10007;9978;10024;0;0;0;0;
0;0;19826;1892;23566;21950;3745;17534;154164987;9997;9984;10026;0;0;0;0;
0;0;19838;1894;23626;22210;3423;17599;154264919;10006;9981;10027;0;0;0;0;
0;0;19839;1894;23623;22277;3358;17602;152164919;10002;9980;10037;0;0;0;0;
0;0;19826;1892;23564;22270;3425;17556;156164962;10000;9991;10017;0;0;0;0;
0;0;19839;1894;23625;22564;3067;17623;155264898;10006;9982;10030;0;0;0;0;
0;0;19838;1895;23623;22644;2991;17584;154064937;10006;9977;10026;0;0;0;0;
0;0;19825;1893;23576;22691;2992;17549;155064970;10001;9989;10014;0;0;0;0;
0;0;19838;1895;23623;22910;2725;17616;154064909;9993;9989;10023;0;0;0;0;
0;0;19826;1893;23563;22889;2809;17555;151964962;10004;9978;10031;0;0;0;0;
0;0;19839;1894;23629;23124;2504;17611;153064914;10001;9978;10023;0;0;0;0;
0;0;19826;1892;23558;23162;2541;17585;156264931;10010;10019;9979;0;0;0;0;
0;0;19839;1893;23635;23356;2269;17595;154964928;10001;9980;10023;0;0;0;0;
0;0;19826;1892;23563;23378;2320;17541;154364979;10004;9979;10035;0;0;0;0;
0;0;19838;1895;23624;23595;2038;17614;154264905;10003;9984;10020;0;0;0;0;
0;0;19838;1893;23622;21599;4038;17585;152164932;10007;9981;10028;0;0;0;0;
0;0;19825;1893;23561;21628;4070;17524;153164994;10006;9979;10024;0;0;0;0;
0;0;19838;1894;23624;21854;3780;17582;155164940;10000;9986;10022;0;0;0;0;
0;0;19838;1894;23629;21951;3680;17590;152164926;10007;9979;10025;0;0;0;0;
0;0;19825;1893;23549;21958;3754;17528;153064990;10000;9984;10024;0;0;0;0;
0;0;19827;1891;23572;22051;3637;17521;152264997;10008;9979;10024;0;0;0;0;
0;0;19825;1893;23577;22193;3489;17525;156064997;9998;9985;10024;0;0;0;0;
0;0;19838;1893;23632;22464;3164;17600;153264919;10006;9977;10023;0;0;0;0;
0;0;19825;1891;23574;22410;3278;17523;154164998;9997;9987;10030;0;0;0;0;
0;0;19838;1894;23637;22725;2897;17604;153264914;10003;9981;10020;0;0;0;0;
0;0;19824;1894;23563;22709;2986;17522;153164994;10007;9985;10020;0;0;0;0;
0;0;19826;1893;23564;22834;2864;17554;155164961;10005;9978;10027;0;0;0;0;
0;0;19839;1893;23631;23053;2576;17584;155264936;10001;9981;10026;0;0;0;0;
0;0;19838;1895;23650;23117;2492;17582;153164938;10000;9987;10028;0;0;0;0;
0;0;19837;1894;23625;23285;2349;17590;153264934;9999;9985;10030;0;0;0;0;
0;0;19837;1893;23620;23372;2268;17596;153164924;10001;9981;10039;0;0;0;0;
0;0;19824;1893;23571;23389;2299;17524;153164999;9999;9990;10016;0;0;0;0;
